Diet_A,Diet_B,Diet_C
5.2,4.0,3.5
4.8,3.8,3.2
6.0,4.2,3.7
5.5,4.1,3.8
4.9,3.9,3.6
5.1,4.0,3.4
5.6,3.7,3.3
5.0,3.8,3.5
4.7,4.1,3.9
5.3,4.2,3.6
4.9,3.9,3.7
5.2,3.8,3.4
5.5,4.0,3.5
5.1,4.1,3.8
5.0,4.0,3.6
4.8,4.2,3.7
5.3,3.8,3.4
5.4,3.9,3.3
5.2,4.1,3.5
4.9,4.0,3.6
5.0,3.9,3.9
5.2,4.0,3.6
4.8,4.1,3.7
5.3,3.8,3.4
5.1,3.9,3.5
5.5,4.2,3.8
5.0,4.0,3.6
4.9,4.1,3.7
5.2,4.0,3.4
5.4,3.8,3.3
5.3,4.2,3.5
5.6,3.9,3.6
4.8,4.1,3.9
5.1,4.0,3.4
5.2,4.2,3.7
5.0,4.1,3.5
4.9,3.8,3.6
5.5,3.9,3.8
5.3,4.0,3.4
5.2,4.1,3.7
5.1,4.2,3.5
5.4,3.8,3.6
5.3,4.0,3.9
5.0,3.9,3.4
5.6,4.1,3.7
5.2,4.2,3.5
4.9,4.0,3.6
5.3,3.9,3.8
5.5,4.1,3.4
5.0,4.0,3.7
